old_path,new_path,date,company,format,status
"to_check/invalid/20250218_SOLADES1RWL_PAIN00800102_4.xml","to_check/invalid/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_4.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/invalid/20250218_SOLADES1RWL_PAIN00800102_5.xml","to_check/invalid/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_5.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/invalid/20250218_SOLADES1RWL_PAIN00800102_6.xml","to_check/invalid/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_6.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/invalid/20250218_SOLADES1RWL_PAIN00800102_7.xml","to_check/invalid/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_7.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/invalid/20251218_WELADED1VEL_PAIN00100109.xml","to_check/invalid/20251218_NOFIRMA_PAIN00100109.xml","20251218","NOFIRMA","PAIN00100109","RENAMED"
"to_check/valid/20241016_HYVEDEMM473_PAIN00800108.xml","to_check/valid/20241016_DOCMORRIS_N_V_PAIN00800108.xml","20241016","DOCMORRIS_N_V","PAIN00800108","RENAMED"
"to_check/valid/20250123_GENODES1VRW_PAIN00100109.xml","to_check/valid/20250123_ENRW_ROTTWEIL_PAIN00100109.xml","20250123","ENRW_ROTTWEIL","PAIN00100109","RENAMED"
"to_check/valid/20250123_GENODES1VRW_PAIN00100109_1.xml","to_check/valid/20250123_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00100109.xml","20250123","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00100109","RENAMED"
"to_check/valid/20250123_SOLADES1RWL_PAIN00100109.xml","to_check/valid/20250123_ENRW_ENERGIEVERSORGUNG_ROTTWEI_GMBH_CO_KG_NETZ_PAIN00100109.xml","20250123","ENRW_ENERGIEVERSORGUNG_ROTTWEI_GMBH_CO_KG_NETZ","PAIN00100109","RENAMED"
"to_check/valid/20250124_SOLADES1RWL_PAIN00800102.xml","to_check/valid/20250124_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102.xml","20250124","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250124_SOLADES1RWL_PAIN00800102_1.xml","to_check/valid/20250124_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_1.xml","20250124","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250125_SOLADES1RWL_PAIN00800102.xml","to_check/valid/20250125_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102.xml","20250125","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250218_SOLADES1RWL_PAIN00800102.xml","to_check/valid/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
